item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status
LR015_low,LR015,3,3,reesterilizável,que pode ser reesterilizado,low_re,res,reesterilizável,reesterilizar,esterilizável,esterilizar,verb,44,1.40227111,1.64345268,3.14683199,11,low,correct
LR016_high,LR016,4,3,reidratável,que é hidratável novamente,low_re,res,reidratável,reidratar,hidratável,hidratar,verb,50,1.59348989,1.69897,3.20234931,8,high,incorrect
LR017_high,LR017,4,3,ressoldável,que é soldável novamente,low_re,res,ressoldável,ressoldar,soldável,soldar,verb,55,1.75283888,1.74036269,3.243742,6,high,incorrect
LR020_low,LR020,3,3,repavimentável,que pode ser repavimentado,low_re,res,repavimentável,repavimentar,pavimentável,pavimentar,verb,74,2.35836504,1.86923172,3.37261103,10,low,correct
LR021_high,LR021,4,3,ressincronizável,que é sincronizável novamente,low_re,res,ressincronizável,ressincronizar,sincronizável,sincronizar,verb,74,2.35836504,1.86923172,3.37261103,11,high,incorrect
LR023_low,LR023,3,3,repolível,que pode ser repolido,low_re,res,repolível,repolir,polível,polir,verb,109,3.47380797,2.0374265,3.54080581,5,low,correct
LR026_high,LR026,4,3,reatável,que é atável novamente,low_re,res,reatável,reatar,atável,atar,verb,146,4.65299049,2.16435286,3.66773216,4,high,incorrect
LR028_low,LR028,3,3,reconciliável,que pode ser reconciliado,low_re,res,reconciliável,reconciliar,conciliável,conciliar,verb,201,6.40582937,2.30319606,3.80657537,9,low,correct
LR030_low,LR030,3,3,reagrupável,que pode ser reagrupado,low_re,res,reagrupável,reagrupar,agrupável,agrupar,verb,230,7.33005351,2.36172784,3.86510714,7,low,correct
LR032_high,LR032,4,3,reanexável,que é anexável novamente,low_re,res,reanexável,reanexar,anexável,anexar,verb,261,8.31801724,2.41664051,3.92001982,6,high,incorrect
LR033_low,LR033,3,3,ressintetizável,que pode ser ressintetizado,low_re,res,ressintetizável,ressintetizar,sintetizável,sintetizar,verb,262,8.34988704,2.41830129,3.9216806,10,low,correct
LR034_high,LR034,4,3,reabilitável,que é habilitável novamente,low_re,res,reabilitável,reabilitar,habilitável,habilitar,verb,268,8.54110582,2.42813479,3.9315141,9,high,incorrect
LR037_low,LR037,3,3,redecorável,que pode ser redecorado,low_re,res,redecorável,redecorar,decorável,decorar,verb,335,10.6763823,2.52504481,4.02842412,7,low,correct
LR040_high,LR040,4,3,reindexável,que é indexável novamente,low_re,res,reindexável,reindexar,indexável,indexar,verb,568,18.1020452,2.75434834,4.25772764,7,high,incorrect
LR042_high,LR042,4,3,reabastecível,que é abastecível novamente,low_re,res,reabastecível,reabastecer,abastecível,abastecer,verb,618,19.6955351,2.79098848,4.29436778,9,high,incorrect
LR044_low,LR044,3,3,reabsorvível,que pode ser reabsorvido,low_re,res,reabsorvível,reabsorver,absorvível,absorver,verb,744,23.7111296,2.87157294,4.37495224,8,low,correct
LR045_high,LR045,4,3,replantável,que é plantável novamente,low_re,res,replantável,replantar,plantável,plantar,verb,757,24.125437,2.87909588,4.38247519,7,high,incorrect
LR048_low,LR048,3,3,reempregável,que pode ser reempregado,low_re,res,reempregável,reempregar,empregável,empregar,verb,931,29.6707818,2.96894968,4.47232899,8,low,correct
LR051_high,LR051,4,3,reassociável,que é associável novamente,low_re,res,reassociável,reassociar,associável,associar,verb,1452,46.2749465,3.16196662,4.66534593,8,high,incorrect
LR052_low,LR052,3,3,reimplantável,que pode ser reimplantado,low_re,res,reimplantável,reimplantar,implantável,implantar,verb,1586,50.5454994,3.20030318,4.70368249,9,low,correct
LR053_low,LR053,3,3,reintegrável,que pode ser reintegrado,low_re,res,reintegrável,reintegrar,integrável,integrar,verb,2495,79.5151456,3.39707055,4.90044986,8,low,correct
LR054_high,LR054,4,3,recontratável,que é contratável novamente,low_re,res,recontratável,recontratar,contratável,contratar,verb,2882,91.8487574,3.45969398,4.96307329,9,high,incorrect
LR059_high,LR059,4,3,recolocável,que é colocável novamente,low_re,res,recolocável,recolocar,colocável,colocar,verb,10587,337.40555,4.02477291,5.52815222,7,high,incorrect
LR060_low,LR060,3,3,reabrível,que pode ser reaberto,low_re,res,reabrível,reabrir,abrível,abrir,verb,13261,422.625389,4.12257628,5.62595558,5,low,correct
LD002_high,LD002,4,3,desenformável,que não é enformável,low_des,rev,desenformável,desenformar,enformável,enformar,ver,2,0.063739596,0.301029996,1.804409304,8,high,incorrect
LD003_low,LD003,3,3,despareável,que pode ser despareado,low_des,rev,despareável,desparear,pareável,parear,ver,4,0.127479191,0.602059991,2.1054393,6,low,correct
LD006_low,LD006,3,3,desabotoável,que pode ser desabotoado,low_des,rev,desabotoável,desabotoar,-,abotoar,ver,15,0.478,1.1761,2.6795,7,low,correct
LD008_high,LD008,4,3,destampável,que não é tampável,low_des,rev,destampável,destampar,tampável,tampar,ver,34,1.083573127,1.531478917,3.034858226,6,high,incorrect
LD010_high,LD010,4,3,desenferrujável,que não é enferrujável,low_des,rev,desenferrujável,desenferrujar,-,enferrujar,ver,45,1.434140903,1.653212514,3.156591823,10,high,incorrect
LD011_low,LD011,3,3,desentortável,que pode ser desentortado,low_des,rev,desentortável,desentortar,-,entortar,ver,48,1.529750297,1.681241237,3.184620546,8,low,correct
LD013_low,LD013,3,3,desacorrentável,que pode ser desacorrentado,low_des,rev,desacorrentável,desacorrentar,-,acorrentar,ver,57,1.816578478,1.755874856,3.259254164,10,low,correct
LD014_high,LD014,4,3,desenroscável,que não é enroscável,low_des,rev,desenroscável,desenroscar,-,enroscar,ver,58,1.848448275,1.763427994,3.266807302,8,high,incorrect
LD018_low,LD018,3,3,desemaranhável,que pode ser desemaranhado,low_des,rev,desemaranhável,desemaranhar,emaranhável,emaranhar,ver,75,2.390234839,1.875061263,3.378440572,9,low,correct
LD020_high,LD020,4,3,desengessável,que não é engessável,low_des,rev,desengessável,desengessar,-,engessar,ver,78,2.485844233,1.892094603,3.395473911,8,high,incorrect
LD022_low,LD022,3,3,descompactável,que pode ser descompactado,low_des,rev,descompactável,descompactar,-,compactar,ver,85,2.708932818,1.929418926,3.432798235,9,low,correct
LD023_high,LD023,4,3,descomprimível,que não é comprimível,low_des,rev,descomprimível,descomprimir,comprimível,comprimir,ver,118,3.760636147,2.071882007,3.575261316,9,high,incorrect
LD026_low,LD026,3,3,desobstruível,que pode ser desobstruido,low_des,rev,desobstruível,desobstruir,obstruível,obstruir,ver,204,6.501438762,2.309630167,3.813009476,8,low,correct
LD027_high,LD027,4,3,desalinhável,que não é alinhável,low_des,rev,desalinhável,desalinhar,-,alinhar,ver,229,7.298183708,2.359835482,3.863214791,7,high,incorrect
LD030_low,LD030,3,3,destrancável,que pode ser destrancado,low_des,rev,destrancável,destrancar,trancável,trancar,ver,287,9.146631984,2.457881897,3.961261206,7,low,correct
LD032_high,LD032,4,3,desagregável,que não é agregável,low_des,rev,desagregável,desagregar,agregável,agregar,ver,315,10.03898632,2.498310554,4.001689863,7,high,incorrect
