item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status
HI003_low,HI003,1,4,indissociável,que pode ser indissociado,high_in,neg,indissociável,-,dissociável,dissociar,verb,105,3.346328775,2.021189299,3.524568608,9,low,incorrect
HI004_high,HI004,4,4,indigerível,que não é digerível,high_in,neg,indigerível,-,digerível,digerir,verb,105,3.346328775,2.021189299,3.524568608,7,high,correct
HI005_low,HI005,1,4,inaferível,que pode ser inaferido,high_in,neg,inaferível,-,aferível,aferir,verb,108,3.441938168,2.033423755,3.536803064,6,low,incorrect
HI006_high,HI006,4,4,impenhorável,que não é penhorável,high_in,neg,impenhorável,-,penhorável,penhorar,verb,109,3.473807966,2.037426498,3.540805807,8,high,correct
HI009_low,HI009,1,4,ilegalizável,que pode ser ilegalizado,high_in,neg,ilegalizável,-,legalizável,legalizar,verb,146,4.652990487,2.164352856,3.667732165,9,low,incorrect
HI011_high,HI011,4,4,inacessível,que não é acessível,high_in,neg,inacessível,-,acessível,acessar,verb,164,5.226646848,2.214843848,3.718223157,7,high,correct
HI014_high,HI014,4,4,inconsertável,que não é consertável,high_in,neg,inconsertável,-,consertável,consertar,verb,263,8.381756835,2.419955748,3.923335057,9,high,correct
HI016_low,HI016,1,4,incontabilizável,que pode ser incontabilizado,high_in,neg,incontabilizável,-,contabilizável,contabilizar,verb,329,10.48516349,2.517195898,4.020575207,12,low,incorrect
HI017_low,HI017,1,4,inviolável,que pode ser inviolado,high_in,neg,inviolável,-,violável,violar,verb,359,11.44125743,2.555094449,4.058473757,6,low,incorrect
HI018_high,HI018,4,4,incurável,que não é curável,high_in,neg,incurável,-,curável,curar,verb,369,11.75995541,2.567026366,4.070405675,5,high,correct
HI021_low,HI021,1,4,incopiável,que pode ser incopiado,high_in,neg,incopiável,-,copiável,copiar,verb,397,12.65230975,2.598790507,4.102169816,6,low,incorrect
HI022_high,HI022,4,4,indatável,que não é datável,high_in,neg,indatável,-,datável,datar,verb,410,13.06661712,2.612783857,4.116163166,5,high,correct
HI025_low,HI025,1,4,infalível,que pode ser infalhado,high_in,neg,infalível,-,falível,falhar,verb,488,15.55246135,2.688419822,4.191799131,6,low,incorrect
HI028_high,HI028,4,4,inimitável,que não é imitável,high_in,neg,inimitável,-,imitável,imitar,verb,527,16.79538347,2.721810615,4.225189924,6,high,correct
HI031_low,HI031,1,4,inabalável,que pode ser inabalado,high_in,neg,inabalável,-,abalável,abalar,verb,649,20.68349881,2.812244697,4.315624006,6,low,incorrect
HI032_high,HI032,4,4,inajustável,que não é ajustável,high_in,neg,inajustável,-,ajustável,ajustar,verb,675,21.51211355,2.829303773,4.332683082,7,high,correct
HI033_high,HI033,4,4,insuportável,que não é suportável,high_in,neg,insuportável,-,suportável,suportar,verb,703,22.40446789,2.846955325,4.350334634,8,high,correct
HI036_low,HI036,1,4,inarticulável,que pode ser inarticulado,high_in,neg,inarticulável,-,articulável,articular,verb,880,28.04542211,2.944482672,4.447861981,9,low,incorrect
HI038_low,HI038,1,4,incontestável,que pode ser incontestado,high_in,neg,incontestável,-,contestável,contestar,verb,1106,35.24799643,3.043755127,4.547134436,9,low,incorrect
HI040_high,HI040,4,4,insegurável,que não é segurável,high_in,neg,insegurável,-,segurável,segurar,verb,1173,37.38327288,3.069298012,4.572677321,7,high,correct
HI041_high,HI041,4,4,incomercializável,que não é comercializável,high_in,neg,incomercializável,-,comercializável,comercializar,verb,1195,38.08440843,3.077367905,4.580747214,13,high,correct
HI042_low,HI042,1,4,intraduzível,que pode ser intraduzido,high_in,neg,intraduzível,-,traduzível,traduzir,verb,1304,41.5582164,3.115277591,4.6186569,8,low,incorrect
HI046_high,HI046,4,4,inexplorável,que não é explorável,high_in,neg,inexplorável,-,explorável,explorar,verb,1548,49.33444708,3.189770956,4.693150265,8,high,correct
HI047_low,HI047,1,4,inadiável,que pode ser inadiado,high_in,neg,inadiável,-,adiável,adiar,verb,1569,50.00371283,3.195622944,4.699002252,5,low,incorrect
HI050_low,HI050,1,4,inseparável,que pode ser inseparado,high_in,neg,inseparável,-,separável,separar,verb,2011,64.09016348,3.303412071,4.806791379,7,low,incorrect
HI051_high,HI051,4,4,inverificável,que não é verificável,high_in,neg,inverificável,-,verificável,verificar,verb,2224,70.87843043,3.347134783,4.850514092,9,high,correct
HI055_high,HI055,4,4,inadquirível,que não é adquirível,high_in,neg,inadquirível,-,adquirível,adquirir,verb,2472,78.78214029,3.393048466,4.896427775,8,high,correct
HI056_low,HI056,1,4,injustificável,que pode ser injustificado,high_in,neg,injustificável,-,justificável,justificar,verb,2543,81.04489594,3.40534636,4.908725669,10,low,incorrect
HI057_low,HI057,1,4,inalterável,que pode ser inalterado,high_in,neg,inalterável,-,alterável,alterar,verb,2627,83.72195896,3.419460073,4.922839382,7,low,incorrect
HI058_high,HI058,4,4,inesquecível,que não é esquecível,high_in,neg,inesquecível,-,esquecível,esquecer,verb,2848,90.76518429,3.454539985,4.957919294,8,high,correct
LR002_low,LR002,4,4,requalificável,que pode ser requalificado,low_re,res,requalificável,requalificar,qualificável,requalificar,verb,3,0.095609394,0.477121255,1.980500564,12,low,correct
LR004_high,LR004,1,4,repintável,que é pintável novamente,low_re,res,repintável,repintar,pintável,repintar,verb,4,0.127479191,0.602059991,2.1054393,8,high,incorrect
LR006_high,LR006,1,4,remagnetizável,que é magnetizável novamente,low_re,res,remagnetizável,remagnetizar,magnetizável,magnetizar,verb,13,0.41430737,1.11394335,2.61732266,10,high,incorrect
LR007_low,LR007,4,4,reincorporável,que pode ser reincorporado,low_re,res,reincorporável,reincorporar,incorporável,reincorporar,verb,16,0.509916766,1.204119983,2.707499291,12,low,correct
LR010_low,LR010,4,4,relubrificável,que pode ser relubrificado,low_re,res,relubrificável,relubrificar,lubrificável,lubrificar,verb,26,0.82861474,1.41497335,2.91835266,10,low,correct
LR012_high,LR012,1,4,reunificável,que é unificável novamente,low_re,res,reunificável,reunificar,unificável,reunificar,verb,33,1.051703329,1.51851394,3.021893249,10,high,incorrect
LR014_high,LR014,1,4,renacionalizável,que é nacionalizável novamente,low_re,res,renacionalizável,renacionalizar,nacionalizável,nacionalizar,verb,43,1.37040131,1.63346846,3.13684776,12,high,incorrect
LR016_low,LR016,4,4,reidratável,que pode ser reidratado,low_re,res,reidratável,reidratar,hidratável,hidratar,verb,50,1.59348989,1.69897,3.20234931,8,low,correct
LR017_low,LR017,4,4,ressoldável,que pode ser ressoldado,low_re,res,ressoldável,ressoldar,soldável,soldar,verb,55,1.75283888,1.74036269,3.243742,6,low,correct
LR019_high,LR019,1,4,revalidável,que é validável novamente,low_re,res,revalidável,revalidar,validável,validar,verb,72,2.29462545,1.8573325,3.36071181,7,high,incorrect
LR021_low,LR021,4,4,ressincronizável,que pode ser ressincronizado,low_re,res,ressincronizável,ressincronizar,sincronizável,sincronizar,verb,74,2.35836504,1.86923172,3.37261103,11,low,correct
LR024_high,LR024,1,4,recalibrável,que é calibrável novamente,low_re,res,recalibrável,recalibrar,calibrável,calibrar,verb,120,3.82437574,2.07918125,3.58256055,8,high,incorrect
LR026_low,LR026,4,4,reatável,que pode ser reatado,low_re,res,reatável,reatar,atável,atar,verb,146,4.65299049,2.16435286,3.66773216,4,low,correct
LR027_high,LR027,1,4,reancorável,que é ancorável novamente,low_re,res,reancorável,reancorar,ancorável,ancorar,verb,179,5.70469382,2.25285303,3.75623234,7,high,incorrect
LR031_high,LR031,1,4,reativável,que é ativável novamente,low_re,res,reativável,reativar,ativável,ativar,verb,244,7.77623068,2.38738983,3.89076914,6,high,incorrect
LR032_low,LR032,4,4,reanexável,que pode ser reanexado,low_re,res,reanexável,reanexar,anexável,anexar,verb,261,8.31801724,2.41664051,3.92001982,6,low,correct
LR034_low,LR034,4,4,reabilitável,que pode ser reabilitado,low_re,res,reabilitável,reabilitar,habilitável,habilitar,verb,268,8.54110582,2.42813479,3.9315141,9,low,correct
LR035_high,LR035,1,4,recentralizável,que é centralizável novamente,low_re,res,recentralizável,recentralizar,centralizável,centralizar,verb,301,9.59280915,2.4785665,3.9819458,11,high,incorrect
LR038_high,LR038,1,4,reaquecível,que é aquecível novamente,low_re,res,reaquecível,reaquecer,aquecível,aquecer,verb,484,15.4249822,2.68484536,4.18822467,7,high,incorrect
LR040_low,LR040,4,4,reindexável,que pode ser reindexado,low_re,res,reindexável,reindexar,indexável,indexar,verb,568,18.1020452,2.75434834,4.25772764,7,low,correct
LR041_high,LR041,1,4,recondicionável,que é condicionável novamente,low_re,res,recondicionável,recondicionar,condicionável,condicionar,verb,581,18.5163526,2.76417613,4.26755544,11,high,incorrect
LR042_low,LR042,4,4,reabastecível,que pode ser reabastecido,low_re,res,reabastecível,reabastecer,abastecível,abastecer,verb,618,19.6955351,2.79098848,4.29436778,9,low,correct
LR045_low,LR045,4,4,replantável,que pode ser replantado,low_re,res,replantável,replantar,plantável,plantar,verb,757,24.125437,2.87909588,4.38247519,7,low,correct
LR047_high,LR047,1,4,reenterrável,que é enterrável novamente,low_re,res,reenterrável,reenterrar,enterrável,enterrar,verb,905,28.8421671,2.95664858,4.46002789,8,high,incorrect
LR049_high,LR049,1,4,renovável,que é novável novamente,low_re,res,renovável,renovar,-,renovar,verb,967,30.81809452,2.985426474,4.488805783,7,high,incorrect
LR051_low,LR051,4,4,reassociável,que pode ser reassociado,low_re,res,reassociável,reassociar,associável,associar,verb,1452,46.2749465,3.16196662,4.66534593,8,low,correct
LR054_low,LR054,4,4,recontratável,que pode ser recontratado,low_re,res,recontratável,recontratar,contratável,contratar,verb,2882,91.8487574,3.45969398,4.96307329,9,low,correct
LR056_high,LR056,1,4,readmissível,que é admissível novamente,low_re,res,readmissível,readmitir,admissível,admitir,verb,4080,130.028775,3.61066016,5.11403947,7,high,incorrect
LR057_high,LR057,1,4,readotável,que é adotável novamente,low_re,res,readotável,readotar,adotável,adotar,verb,4150,132.259661,3.6180481,5.12142741,6,high,incorrect
LR059_low,LR059,4,4,recolocável,que pode ser recolocado,low_re,res,recolocável,recolocar,colocável,colocar,verb,10587,337.40555,4.02477291,5.52815222,7,low,correct
LD001_high,LD001,1,4,desaparafusável,que não é aparafusável,low_des,rev,desaparafusável,desaparafusar,-,aparafusar,ver,1,0.031869798,0,1.503379309,10,high,incorrect
LD002_low,LD002,4,4,desenformável,que pode ser desenformado,low_des,rev,desenformável,desenformar,enformável,enformar,ver,2,0.063739596,0.301029996,1.804409304,8,low,correct
LD007_high,LD007,1,4,descriminalizável,que não é criminalizável,low_des,rev,descriminalizável,descriminalizar,-,criminalizar,ver,25,0.796744946,1.397940009,2.901319317,12,high,incorrect
LD008_low,LD008,4,4,destampável,que pode ser destampado,low_des,rev,destampável,destampar,tampável,tampar,ver,34,1.083573127,1.531478917,3.034858226,6,low,correct
LD009_high,LD009,1,4,desatolável,que não é atolável,low_des,rev,desatolável,desatolar,-,atolar,ver,45,1.434140903,1.653212514,3.156591823,6,high,incorrect
LD010_low,LD010,4,4,desenferrujável,que pode ser desenferrujado,low_des,rev,desenferrujável,desenferrujar,-,enferrujar,ver,45,1.434140903,1.653212514,3.156591823,10,low,correct
LD014_low,LD014,4,4,desenroscável,que pode ser desenroscado,low_des,rev,desenroscável,desenroscar,-,enroscar,ver,58,1.848448275,1.763427994,3.266807302,8,low,correct
LD016_high,LD016,1,4,desentupível,que não é entupível,low_des,rev,desentupível,desentupir,-,entupir,ver,67,2.135276456,1.826074803,3.329454111,7,high,incorrect
LD019_high,LD019,1,4,desembrulhável,que não é embrulhável,low_des,rev,desembrulhável,desembrulhar,-,embrulhar,ver,77,2.453974435,1.886490725,3.389870034,9,high,incorrect
LD020_low,LD020,4,4,desengessável,que pode ser desengessado,low_des,rev,desengessável,desengessar,-,engessar,ver,78,2.485844233,1.892094603,3.395473911,8,low,correct
LD021_high,LD021,1,4,desembaralhável,que não é embaralhável,low_des,rev,desembaralhável,desembaralhar,-,embaralhar,ver,82,2.613323424,1.913813852,3.417193161,10,high,incorrect
LD023_low,LD023,4,4,descomprimível,que pode ser descomprimido,low_des,rev,descomprimível,descomprimir,comprimível,comprimir,ver,118,3.760636147,2.071882007,3.575261316,9,low,correct
LD027_low,LD027,4,4,desalinhável,que pode ser desalinhado,low_des,rev,desalinhável,desalinhar,-,alinhar,ver,229,7.298183708,2.359835482,3.863214791,7,low,correct
LD028_high,LD028,1,4,despoluível,que não é poluível,low_des,rev,despoluível,despoluir,-,poluir,ver,238,7.585011889,2.376576957,3.879956266,6,high,incorrect
LD031_high,LD031,1,4,desconectável,que não é conectável,low_des,rev,desconectável,desconectar,-,conectar,ver,303,9.656548749,2.481442629,3.984821937,8,high,incorrect
LD032_low,LD032,4,4,desagregável,que pode ser desagregado,low_des,rev,desagregável,desagregar,agregável,agregar,ver,315,10.03898632,2.498310554,4.001689863,7,low,correct
LD033_low,LD033,4,4,desembalável,que pode ser desembalado,low_des,rev,desembalável,desembalar,-,embalar,ver,316,10.07085612,2.499687083,4.003066391,7,low,correct
LD034_high,LD034,1,4,desarquivável,que não é arquivável,low_des,rev,desarquivável,desarquivar,arquivável,arquivar,ver,332,10.58077289,2.521138084,4.024517393,8,high,incorrect
LD039_high,LD039,1,4,desarrumável,que não é arrumável,low_des,rev,desarrumável,desarrumar,arrumável,arrumar,ver,537,17.11408145,2.729974286,4.233353594,7,high,incorrect
LD040_low,LD040,4,4,desamarrável,que pode ser desamarrado,low_des,rev,desamarrável,desamarrar,-,amarrar,ver,554,17.65586801,2.743509765,4.246889074,7,low,correct
LD043_high,LD043,1,4,desbloqueável,que não é bloqueável,low_des,rev,desbloqueável,desbloquear,-,bloquear,ver,715,22.78690546,2.854306042,4.357685351,8,high,incorrect
LD044_low,LD044,4,4,descontaminável,que pode ser descontaminado,low_des,rev,descontaminável,descontaminar,-,contaminar,ver,803,25.59144768,2.904715545,4.408094854,10,low,correct
LD045_high,LD045,1,4,desdobrável,que não é dobrável,low_des,rev,desdobrável,desdobrar,-,dobrar,ver,872,27.79046373,2.940516485,4.443895794,6,high,incorrect
LD048_low,LD048,4,4,descruzável,que pode ser descruzado,low_des,rev,descruzável,descruzar,-,cruzar,ver,1283,40.88895065,3.108226656,4.611605965,6,low,correct
LD050_low,LD050,4,4,descaracterizável,que pode ser descaracterizado,low_des,rev,descaracterizável,descaracterizar,-,caracterizar,ver,1575,50.19493162,3.197280558,4.700659867,12,low,correct
LD052_high,LD052,1,4,desarmável,que não é armável,low_des,rev,desarmável,desarmar,-,armar,ver,2539,80.91741675,3.404662701,4.90804201,5,high,incorrect
LD053_high,LD053,1,4,desinstalável,que não é instalável,low_des,rev,desinstalável,desinstalar,-,instalar,ver,3176,101.218478,3.501880494,5.005259803,8,high,incorrect
LD054_low,LD054,4,4,desmontável,que pode ser desmontado,low_des,rev,desmontável,desmontar,-,montar,ver,3319,105.7758591,3.521007252,5.024386561,6,low,correct
LD057_low,LD057,4,4,desocupável,que pode ser desocupado,low_des,rev,desocupável,desocupar,-,ocupar,ver,4972,158.4566349,3.69653112,5.199910429,6,low,correct
LD058_high,LD058,1,4,desprendível,que não é prendível,low_des,rev,desprendível,desprender,prendível,prender,ver,5947,189.5296878,3.774297938,5.277677247,7,high,incorrect
HD002_high,HD002,4,4,descaramelizável,que não é caramelizável,high_des,neg,descaramelizável,,caramelizável,caramelizar,ver,4,0.127479191,0.602059991,2.1054393,11,high,correct
HD003_low,HD003,1,4,desescaneável,que pode ser desescaneado,high_des,neg,desescaneável,,escaneável,escanear,ver,10,0.318697979,1,2.503379309,8,low,incorrect
HD005_low,HD005,1,4,desadubável,que pode ser desadubado,high_des,neg,desadubável,,adubável,adubar,ver,22,0.701135553,1.342422681,2.84580199,6,low,incorrect
HD008_high,HD008,4,4,despasteurizável,que não é pasteurizável,high_des,neg,despasteurizável,,pasteurizável,pasteurizar,ver,39,1.242922116,1.591064607,3.094443916,11,high,correct
HD010_high,HD010,4,4,desconfortável,que não é confortável,high_des,neg,desconfortável,-,confortável,confortar,ver,49,1.561620095,1.69019608,3.193575389,9,high,correct
HD012_low,HD012,1,4,desgrelhável,que pode ser desgrelhado,high_des,neg,desgrelhável,,grelhável,grelhar,ver,88,2.804542211,1.944482672,3.447861981,7,low,incorrect
HD014_low,HD014,1,4,desdublável,que pode ser desdublado,high_des,neg,desdublável,,dublável,dublar,ver,107,3.41006837,2.029383778,3.532763086,6,low,incorrect
HD015_high,HD015,4,4,desassável,que não é assável,high_des,neg,desassável,,assável,assar,ver,111,3.537547562,2.045322979,3.548702288,5,high,correct
HD017_low,HD017,1,4,desenumerável,que pode ser desenumerado,high_des,neg,desenumerável,-,enumerável,enumerar,ver,141,4.493641497,2.149219113,3.652598421,8,low,incorrect
HD019_high,HD019,4,4,desminável,que não é minável,high_des,neg,desminável,-,minável,minar,ver,192,6.119001188,2.283301229,3.786680537,5,high,correct
HD021_high,HD021,4,4,desdiagnosticável,que não é diagnosticável,high_des,neg,desdiagnosticável,-,diagnosticável,diagnosticar,ver,215,6.852006538,2.33243846,3.835817769,12,high,correct
HD022_low,HD022,1,4,desgerenciável,que pode ser desgerenciado,high_des,neg,desgerenciável,-,gerenciável,gerenciar,ver,220,7.011355528,2.342422681,3.84580199,9,low,incorrect
HD025_high,HD025,4,4,desencenável,que não é encenável,high_des,neg,desencenável,,encenável,encenar,ver,351,11.18629905,2.545307116,4.048686425,7,high,correct
HD026_low,HD026,1,4,descontornável,que pode ser descontornado,high_des,neg,descontornável,-,contornável,contornar,ver,359,11.44125743,2.555094449,4.058473757,9,low,incorrect
HD031_high,HD031,4,4,desconvinhável,que não é convinhável,high_des,neg,desconvinhável,-,convinhável,convir,ver,554,17.65586801,2.743509765,4.246889074,6,high,correct
HD032_low,HD032,1,4,desfotografável,que pode ser desfotografado,high_des,neg,desfotografável,-,fotografável,fotografar,ver,623,19.85488406,2.794488047,4.297867355,10,low,incorrect
HD033_high,HD033,4,4,desapelável,que não é apelável,high_des,neg,desapelável,-,apelável,apelar,ver,624,19.88675386,2.79518459,4.298563898,6,high,correct
HD034_low,HD034,1,4,desnarrável,que pode ser desnarrado,high_des,neg,desnarrável,-,narrável,narrar,ver,681,21.70333234,2.833147112,4.336526421,6,low,incorrect
HD037_low,HD037,1,4,desconfiável,que pode ser desconfiado,high_des,neg,desconfiável,-,confiável,confiar,ver,936,29.83013079,2.971275849,4.474655158,7,low,incorrect
HD039_high,HD039,4,4,desentrevistável,que não é entrevistável,high_des,neg,desentrevistável,,entrevistável,entrevistar,ver,988,31.48736028,2.994756945,4.498136253,11,high,correct
HD042_low,HD042,1,4,desconsultável,que pode ser desconsultado,high_des,neg,desconsultável,-,consultável,consultar,ver,1237,39.42293994,3.0923697,4.595749008,9,low,incorrect
HD044_high,HD044,4,4,desamável,que não é amável,high_des,neg,desamável,-,amável,amar,ver,1354,43.15170629,3.131618664,4.634997973,4,high,correct
HD046_high,HD046,4,4,desexaminável,que não é examinável,high_des,neg,desexaminável,-,examinável,examinar,ver,1454,46.33868608,3.162564407,4.665943715,8,high,correct
HD048_low,HD048,1,4,desexecutável,que pode ser desexecutado,high_des,neg,desexecutável,-,executável,executar,ver,1742,55.51718786,3.241048151,4.744427459,8,low,incorrect
HD049_high,HD049,4,4,desprotegível,que não é protegível,high_des,neg,desprotegível,-,protegível,proteger,ver,1892,60.29765754,3.276921132,4.780300441,8,high,correct
HD050_low,HD050,1,4,desinterpretável,que pode ser desinterpretado,high_des,neg,desinterpretável,-,interpretável,interpretar,ver,1914,60.99879309,3.281941933,4.785321242,11,low,incorrect
HD053_low,HD053,1,4,desacertável,que pode ser desacertado,high_des,neg,desacertável,-,acertável,acertar,ver,2751,87.67381389,3.43949059,4.942869899,7,low,incorrect
HD054_high,HD054,4,4,desfavorável,que não é favorável,high_des,neg,desfavorável,-,favorável,favor,nom,3098,98.73263375,3.491081413,4.994460722,5,high,correct
