item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status
HI019_high,HI019,3,3,improrrogável,que não é prorrogável,high_in,neg,improrrogável,-,prorrogável,prorrogar,verb,379,12.07865339,2.57863921,4.082018519,9,high,correct
HI020_low,HI020,2,1,incapturável,que pode ser incapturado,high_in,neg,incapturável,-,capturável,capturar,verb,390,12.42922116,2.591064607,4.094443916,8,low,incorrect
HI020_high,HI020,2,2,incapturável,que não é capturável,high_in,neg,incapturável,-,capturável,capturar,verb,390,12.42922116,2.591064607,4.094443916,8,high,correct
HI021_low,HI021,1,4,incopiável,que pode ser incopiado,high_in,neg,incopiável,-,copiável,copiar,verb,397,12.65230975,2.598790507,4.102169816,6,low,incorrect
HI021_high,HI021,1,1,incopiável,que não é copiável,high_in,neg,incopiável,-,copiável,copiar,verb,397,12.65230975,2.598790507,4.102169816,6,high,correct
HI022_low,HI022,4,3,indatável,que pode ser indatado,high_in,neg,indatável,-,datável,datar,verb,410,13.06661712,2.612783857,4.116163166,5,low,incorrect
HI022_high,HI022,4,4,indatável,que não é datável,high_in,neg,indatável,-,datável,datar,verb,410,13.06661712,2.612783857,4.116163166,5,high,correct
HI023_low,HI023,3,2,inexprimível,que pode ser inexpresso,high_in,neg,inexprimível,-,exprimível,exprimir,verb,417,13.2897057,2.620136055,4.123515364,8,low,incorrect
HI023_high,HI023,3,3,inexprimível,que não é exprimível,high_in,neg,inexprimível,-,exprimível,exprimir,verb,417,13.2897057,2.620136055,4.123515364,8,high,correct
HI024_low,HI024,2,1,inabitável,que pode ser inabitado,high_in,neg,inabitável,-,habitável,habitar,verb,451,14.37327883,2.654176542,4.157555851,7,low,incorrect
HI024_high,HI024,2,2,inabitável,que não é habitável,high_in,neg,inabitável,-,habitável,habitar,verb,451,14.37327883,2.654176542,4.157555851,7,high,correct
