item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status,paraphrase
LR003_high,LR003,3,2,remineralizável,que voltou a poder ser mineralizado,low_re,res,remineralizável,remineralizar,mineralizável,mineralizar,verb,4,0.12747919,0.60205999,2.1054393,11,high,incorrect,que voltou a poder ser mineralizado
LR005_high,LR005,3,2,rebobinável,que voltou a poder ser bobinado,low_re,res,rebobinável,rebobinar,bobinável,bobinar,verb,5,0.15934899,0.69897,2.20234931,7,high,incorrect,que voltou a poder ser bobinado
LR008_low,LR008,2,2,reionizável,que pode voltar a ficar ionizado,low_re,res,reionizável,reionizar,ionizável,ionizar,verb,19,0.60552616,1.2787536,2.78213291,7,low,correct,que pode voltar a ficar ionizado
LR009_low,LR009,2,2,reempacotável,que pode voltar a ficar empacotado,low_re,res,reempacotável,reempacotar,empacotável,empacotar,verb,25,0.79674495,1.39794001,2.90131932,9,low,correct,que pode voltar a ficar empacotado
LR011_high,LR011,3,2,ressocializável,que voltou a poder ser socializado,low_re,res,ressocializável,ressocializar,socializável,socializar,verb,28,0.89235434,1.44715803,2.95053734,10,high,incorrect,que voltou a poder ser socializado
LR013_low,LR013,2,2,reoxigenável,que pode voltar a ficar oxigenado,low_re,res,reoxigenável,reoxigenar,oxigenável,oxigenar,verb,41,1.30666171,1.61278386,3.11616317,8,low,correct,que pode voltar a ficar oxigenado
LR015_high,LR015,3,2,reesterilizável,que voltou a poder ser esterilizado,low_re,res,reesterilizável,reesterilizar,esterilizável,esterilizar,verb,44,1.40227111,1.64345268,3.14683199,11,high,incorrect,que voltou a poder ser esterilizado
LR018_low,LR018,2,2,reaparelhável,que pode voltar a ficar aparelhado,low_re,res,reaparelhável,reaparelhar,aparelhável,aparelhar,verb,63,2.00779726,1.79934055,3.30271986,9,low,correct,que pode voltar a ficar aparelhado
LR020_high,LR020,3,2,repavimentável,que voltou a poder ser pavimentado,low_re,res,repavimentável,repavimentar,pavimentável,pavimentar,verb,74,2.35836504,1.86923172,3.37261103,10,high,incorrect,que voltou a poder ser pavimentado
LR022_low,LR022,2,2,redemocratizável,que pode voltar a ficar democratizado,low_re,res,redemocratizável,redemocratizar,democratizável,democratizar,verb,107,3.41006837,2.02938378,3.53276309,12,low,correct,que pode voltar a ficar democratizado
LR023_high,LR023,3,2,repolível,que voltou a poder ser polido,low_re,res,repolível,repolir,polível,polir,verb,109,3.47380797,2.0374265,3.54080581,5,high,incorrect,que voltou a poder ser polido
LR025_low,LR025,2,2,reengatável,que pode voltar a ficar engatado,low_re,res,reengatável,reengatar,engatável,engatar,verb,137,4.36616231,2.13672057,3.64009988,7,low,correct,que pode voltar a ficar engatado
LR028_high,LR028,3,2,reconciliável,que voltou a poder ser conciliado,low_re,res,reconciliável,reconciliar,conciliável,conciliar,verb,201,6.40582937,2.30319606,3.80657537,9,high,incorrect,que voltou a poder ser conciliado
LR029_low,LR029,2,2,reacoplável,que pode voltar a ficar acoplado,low_re,res,reacoplável,reacoplar,acoplável,acoplar,verb,208,6.62891795,2.31806333,3.82144264,7,low,correct,que pode voltar a ficar acoplado
LR030_high,LR030,3,2,reagrupável,que voltou a poder ser agrupado,low_re,res,reagrupável,reagrupar,agrupável,agrupar,verb,230,7.33005351,2.36172784,3.86510714,7,high,incorrect,que voltou a poder ser agrupado
LR033_high,LR033,3,2,ressintetizável,que voltou a poder ser sintetizado,low_re,res,ressintetizável,ressintetizar,sintetizável,sintetizar,verb,262,8.34988704,2.41830129,3.9216806,10,high,incorrect,que voltou a poder ser sintetizado
LR036_low,LR036,2,2,reencaixável,que pode voltar a ficar encaixado,low_re,res,reencaixável,reencaixar,encaixável,encaixar,verb,311,9.91150713,2.49276039,3.9961397,8,low,correct,que pode voltar a ficar encaixado
LR037_high,LR037,3,2,redecorável,que voltou a poder ser decorado,low_re,res,redecorável,redecorar,decorável,decorar,verb,335,10.6763823,2.52504481,4.02842412,7,high,incorrect,que voltou a poder ser decorado
LR039_low,LR039,2,2,reprivatizável,que pode voltar a ficar privatizado,low_re,res,reprivatizável,reprivatizar,privatizável,privatizar,verb,558,17.7833472,2.7466342,4.25001351,10,low,correct,que pode voltar a ficar privatizado
LR043_low,LR043,2,2,reequilibrável,que pode voltar a ficar equilibrado,low_re,res,reequilibrável,reequilibrar,equilibrável,equilibrar,verb,687,21.8945511,2.83695674,4.34033605,10,low,correct,que pode voltar a ficar equilibrado
LR044_high,LR044,3,2,reabsorvível,que voltou a poder ser absorvido,low_re,res,reabsorvível,reabsorver,absorvível,absorver,verb,744,23.7111296,2.87157294,4.37495224,8,high,incorrect,que voltou a poder ser absorvido
LR046_low,LR046,2,2,reordenável,que pode voltar a ficar ordenado,low_re,res,reordenável,reordenar,ordenável,ordenar,verb,777,24.7628329,2.89042102,4.39380033,7,low,correct,que pode voltar a ficar ordenado
LR048_high,LR048,3,2,reempregável,que voltou a poder ser empregado,low_re,res,reempregável,reempregar,empregável,empregar,verb,931,29.6707818,2.96894968,4.47232899,8,high,incorrect,que voltou a poder ser empregado
LR050_low,LR050,2,2,reanimável,que pode voltar a ficar animado,low_re,res,reanimável,reanimar,animável,animar,verb,1378,43.9165814,3.13924922,4.64262853,6,low,correct,que pode voltar a ficar animado
