item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status,paraphrase
HI016_high,HI016,1,1,incontabilizável,que não pode ser contabilizado,high_in,neg,incontabilizável,-,contabilizável,contabilizar,verb,329,10.48516349,2.517195898,4.020575207,12,high,correct,que não pode ser contabilizado
HI017_low,HI017,1,4,inviolável,que pode deixar de estar violado,high_in,neg,inviolável,-,violável,violar,verb,359,11.44125743,2.555094449,4.058473757,6,low,incorrect,que pode deixar de estar violado
HI017_high,HI017,1,1,inviolável,que não pode ser violado,high_in,neg,inviolável,-,violável,violar,verb,359,11.44125743,2.555094449,4.058473757,6,high,correct,que não pode ser violado
HI018_low,HI018,4,3,incurável,que pode deixar de estar curado,high_in,neg,incurável,-,curável,curar,verb,369,11.75995541,2.567026366,4.070405675,5,low,incorrect,que pode deixar de estar curado
HI018_high,HI018,4,4,incurável,que não pode ser curado,high_in,neg,incurável,-,curável,curar,verb,369,11.75995541,2.567026366,4.070405675,5,high,correct,que não pode ser curado
HI019_low,HI019,3,2,improrrogável,que pode deixar de estar prorrogado,high_in,neg,improrrogável,-,prorrogável,prorrogar,verb,379,12.07865339,2.57863921,4.082018519,9,low,incorrect,que pode deixar de estar prorrogado
HI019_high,HI019,3,3,improrrogável,que não pode ser prorrogado,high_in,neg,improrrogável,-,prorrogável,prorrogar,verb,379,12.07865339,2.57863921,4.082018519,9,high,correct,que não pode ser prorrogado
HI020_low,HI020,2,1,incapturável,que pode deixar de estar capturado,high_in,neg,incapturável,-,capturável,capturar,verb,390,12.42922116,2.591064607,4.094443916,8,low,incorrect,que pode deixar de estar capturado
HI020_high,HI020,2,2,incapturável,que não pode ser capturado,high_in,neg,incapturável,-,capturável,capturar,verb,390,12.42922116,2.591064607,4.094443916,8,high,correct,que não pode ser capturado
HI021_low,HI021,1,4,incopiável,que pode deixar de estar copiado,high_in,neg,incopiável,-,copiável,copiar,verb,397,12.65230975,2.598790507,4.102169816,6,low,incorrect,que pode deixar de estar copiado
