item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status,paraphrase
HI001_low,HI001,2,1,insaciável,que pode deixar de estar saciado,high_in,neg,insaciável,-,saciável,saciar,verb,47,1.497880499,1.672097858,3.175477167,6,low,incorrect,que pode deixar de estar saciado
HI003_high,HI003,1,1,indissociável,que não pode ser dissociado,high_in,neg,indissociável,-,dissociável,dissociar,verb,105,3.346328775,2.021189299,3.524568608,9,high,correct,que não pode ser dissociado
HI005_high,HI005,1,1,inaferível,que não pode ser aferido,high_in,neg,inaferível,-,aferível,aferir,verb,108,3.441938168,2.033423755,3.536803064,6,high,correct,que não pode ser aferido
HI007_low,HI007,2,1,inalienável,que pode deixar de estar alienado,high_in,neg,inalienável,-,alienável,alienar,verb,112,3.56941736,2.049218023,3.552597331,7,low,incorrect,que pode deixar de estar alienado
HI009_high,HI009,1,1,ilegalizável,que não pode ser legalizado,high_in,neg,ilegalizável,-,legalizável,legalizar,verb,146,4.652990487,2.164352856,3.667732165,9,high,correct,que não pode ser legalizado
HI012_low,HI012,2,1,intolerável,que pode deixar de estar tolerado,high_in,neg,intolerável,-,tolerável,tolerar,verb,223,7.106964921,2.348304863,3.851684172,7,low,incorrect,que pode deixar de estar tolerado
HI015_low,HI015,2,1,incomputável,que pode deixar de estar computado,high_in,neg,incomputável,-,computável,computar,verb,279,8.891673601,2.445604203,3.948983512,8,low,incorrect,que pode deixar de estar computado
HI016_high,HI016,1,1,incontabilizável,que não pode ser contabilizado,high_in,neg,incontabilizável,-,contabilizável,contabilizar,verb,329,10.48516349,2.517195898,4.020575207,12,high,correct,que não pode ser contabilizado
HI017_high,HI017,1,1,inviolável,que não pode ser violado,high_in,neg,inviolável,-,violável,violar,verb,359,11.44125743,2.555094449,4.058473757,6,high,correct,que não pode ser violado
HI020_low,HI020,2,1,incapturável,que pode deixar de estar capturado,high_in,neg,incapturável,-,capturável,capturar,verb,390,12.42922116,2.591064607,4.094443916,8,low,incorrect,que pode deixar de estar capturado
HI021_high,HI021,1,1,incopiável,que não pode ser copiado,high_in,neg,incopiável,-,copiável,copiar,verb,397,12.65230975,2.598790507,4.102169816,6,high,correct,que não pode ser copiado
HI024_low,HI024,2,1,inabitável,que pode deixar de estar habitado,high_in,neg,inabitável,-,habitável,habitar,verb,451,14.37327883,2.654176542,4.157555851,7,low,incorrect,que pode deixar de estar habitado
HI025_high,HI025,1,1,infalível,que não pode falhar,high_in,neg,infalível,-,falível,falhar,verb,488,15.55246135,2.688419822,4.191799131,6,high,correct,que não pode falhar
HI026_low,HI026,2,1,insolucionável,que pode deixar de estar solucionado,high_in,neg,insolucionável,-,solucionável,solucionar,verb,498,15.87115933,2.697229343,4.200608652,10,low,incorrect,que pode deixar de estar solucionado
HI029_low,HI029,2,1,indelegável,que pode deixar de estar delegado,high_in,neg,indelegável,-,delegável,delegar,verb,528,16.82725327,2.722633923,4.226013231,7,low,incorrect,que pode deixar de estar delegado
HI031_high,HI031,1,1,inabalável,que não pode ser abalado,high_in,neg,inabalável,-,abalável,abalar,verb,649,20.68349881,2.812244697,4.315624006,6,high,correct,que não pode ser abalado
HI035_low,HI035,2,1,inconcebível,que pode deixar de estar concebido,high_in,neg,inconcebível,-,concebível,conceber,verb,823,26.22884363,2.915399835,4.418779144,8,low,incorrect,que pode deixar de estar concebido
HI036_high,HI036,1,1,inarticulável,que não pode ser articulado,high_in,neg,inarticulável,-,articulável,articular,verb,880,28.04542211,2.944482672,4.447861981,9,high,correct,que não pode ser articulado
HI038_high,HI038,1,1,incontestável,que não pode ser contestado,high_in,neg,incontestável,-,contestável,contestar,verb,1106,35.24799643,3.043755127,4.547134436,9,high,correct,que não pode ser contestado
HI039_low,HI039,2,1,indetectável,que pode deixar de estar detectado,high_in,neg,indetectável,-,detectável,detectar,verb,1123,35.78978299,3.050379756,4.553759065,8,low,incorrect,que pode deixar de estar detectado
HI042_high,HI042,1,1,intraduzível,que não pode ser traduzido,high_in,neg,intraduzível,-,traduzível,traduzir,verb,1304,41.5582164,3.115277591,4.6186569,8,high,correct,que não pode ser traduzido
HI043_low,HI043,2,1,inquestionável,que pode deixar de estar questionado,high_in,neg,inquestionável,-,questionável,questionar,verb,1306,41.621956,3.115943177,4.619322486,10,low,incorrect,que pode deixar de estar questionado
HI047_high,HI047,1,1,inadiável,que não pode ser adiado,high_in,neg,inadiável,-,adiável,adiar,verb,1569,50.00371283,3.195622944,4.699002252,5,high,correct,que não pode ser adiado
HI048_low,HI048,2,1,inescapável,que pode deixar de estar escapado,high_in,neg,inescapável,-,escapável,escapar,verb,1703,54.27426574,3.231214648,4.734593957,7,low,incorrect,que pode deixar de estar escapado
HI050_high,HI050,1,1,inseparável,que não pode ser separado,high_in,neg,inseparável,-,separável,separar,verb,2011,64.09016348,3.303412071,4.806791379,7,high,correct,que não pode ser separado
HI052_low,HI052,2,1,indesejável,que pode deixar de estar desejado,high_in,neg,indesejável,-,desejável,desejar,verb,2322,74.00167061,3.365862215,4.869241524,7,low,incorrect,que pode deixar de estar desejado
HI053_low,HI053,2,1,inconvertível,que pode deixar de estar convertido,high_in,neg,inconvertível,-,convertível,converter,verb,2381,75.88198869,3.376759395,4.880138704,9,low,incorrect,que pode deixar de estar convertido
HI056_high,HI056,1,1,injustificável,que não pode ser justificado,high_in,neg,injustificável,-,justificável,justificar,verb,2543,81.04489594,3.40534636,4.908725669,10,high,correct,que não pode ser justificado
HI057_high,HI057,1,1,inalterável,que não pode ser alterado,high_in,neg,inalterável,-,alterável,alterar,verb,2627,83.72195896,3.419460073,4.922839382,7,high,correct,que não pode ser alterado
HI059_low,HI059,2,1,indivisível,que pode deixar de estar dividido,high_in,neg,indivisível,-,divisível,dividir,verb,4052,129.1364209,3.607669437,5.111048745,7,low,incorrect,que pode deixar de estar dividido
LR001_high,LR001,2,1,recurvável,que voltou a poder ser curvado,low_re,res,recurvável,recurvar,curvável,recurvar,verb,3,0.095609394,0.477121255,1.980500564,8,high,incorrect,que voltou a poder ser curvado
LR004_low,LR004,1,1,repintável,que pode voltar a ficar pintado,low_re,res,repintável,repintar,pintável,repintar,verb,4,0.127479191,0.602059991,2.1054393,8,low,correct,que pode voltar a ficar pintado
LR006_low,LR006,1,1,remagnetizável,que pode voltar a ficar magnetizado,low_re,res,remagnetizável,remagnetizar,magnetizável,magnetizar,verb,13,0.41430737,1.11394335,2.61732266,10,low,correct,que pode voltar a ficar magnetizado
LR008_high,LR008,2,1,reionizável,que voltou a poder ser ionizado,low_re,res,reionizável,reionizar,ionizável,ionizar,verb,19,0.60552616,1.2787536,2.78213291,7,high,incorrect,que voltou a poder ser ionizado
LR009_high,LR009,2,1,reempacotável,que voltou a poder ser empacotado,low_re,res,reempacotável,reempacotar,empacotável,empacotar,verb,25,0.79674495,1.39794001,2.90131932,9,high,incorrect,que voltou a poder ser empacotado
LR012_low,LR012,1,1,reunificável,que pode voltar a ficar unificado,low_re,res,reunificável,reunificar,unificável,reunificar,verb,33,1.051703329,1.51851394,3.021893249,10,low,correct,que pode voltar a ficar unificado
LR013_high,LR013,2,1,reoxigenável,que voltou a poder ser oxigenado,low_re,res,reoxigenável,reoxigenar,oxigenável,oxigenar,verb,41,1.30666171,1.61278386,3.11616317,8,high,incorrect,que voltou a poder ser oxigenado
LR014_low,LR014,1,1,renacionalizável,que pode voltar a ficar nacionalizado,low_re,res,renacionalizável,renacionalizar,nacionalizável,nacionalizar,verb,43,1.37040131,1.63346846,3.13684776,12,low,correct,que pode voltar a ficar nacionalizado
LR018_high,LR018,2,1,reaparelhável,que voltou a poder ser aparelhado,low_re,res,reaparelhável,reaparelhar,aparelhável,aparelhar,verb,63,2.00779726,1.79934055,3.30271986,9,high,incorrect,que voltou a poder ser aparelhado
LR019_low,LR019,1,1,revalidável,que pode voltar a ficar validado,low_re,res,revalidável,revalidar,validável,validar,verb,72,2.29462545,1.8573325,3.36071181,7,low,correct,que pode voltar a ficar validado
LR022_high,LR022,2,1,redemocratizável,que voltou a poder ser democratizado,low_re,res,redemocratizável,redemocratizar,democratizável,democratizar,verb,107,3.41006837,2.02938378,3.53276309,12,high,incorrect,que voltou a poder ser democratizado
LR024_low,LR024,1,1,recalibrável,que pode voltar a ficar calibrado,low_re,res,recalibrável,recalibrar,calibrável,calibrar,verb,120,3.82437574,2.07918125,3.58256055,8,low,correct,que pode voltar a ficar calibrado
LR025_high,LR025,2,1,reengatável,que voltou a poder ser engatado,low_re,res,reengatável,reengatar,engatável,engatar,verb,137,4.36616231,2.13672057,3.64009988,7,high,incorrect,que voltou a poder ser engatado
LR027_low,LR027,1,1,reancorável,que pode voltar a ficar ancorado,low_re,res,reancorável,reancorar,ancorável,ancorar,verb,179,5.70469382,2.25285303,3.75623234,7,low,correct,que pode voltar a ficar ancorado
LR029_high,LR029,2,1,reacoplável,que voltou a poder ser acoplado,low_re,res,reacoplável,reacoplar,acoplável,acoplar,verb,208,6.62891795,2.31806333,3.82144264,7,high,incorrect,que voltou a poder ser acoplado
LR031_low,LR031,1,1,reativável,que pode voltar a ficar ativado,low_re,res,reativável,reativar,ativável,ativar,verb,244,7.77623068,2.38738983,3.89076914,6,low,correct,que pode voltar a ficar ativado
LR035_low,LR035,1,1,recentralizável,que pode voltar a ficar centralizado,low_re,res,recentralizável,recentralizar,centralizável,centralizar,verb,301,9.59280915,2.4785665,3.9819458,11,low,correct,que pode voltar a ficar centralizado
LR036_high,LR036,2,1,reencaixável,que voltou a poder ser encaixado,low_re,res,reencaixável,reencaixar,encaixável,encaixar,verb,311,9.91150713,2.49276039,3.9961397,8,high,incorrect,que voltou a poder ser encaixado
LR038_low,LR038,1,1,reaquecível,que pode voltar a ficar aquecido,low_re,res,reaquecível,reaquecer,aquecível,aquecer,verb,484,15.4249822,2.68484536,4.18822467,7,low,correct,que pode voltar a ficar aquecido
LR039_high,LR039,2,1,reprivatizável,que voltou a poder ser privatizado,low_re,res,reprivatizável,reprivatizar,privatizável,privatizar,verb,558,17.7833472,2.7466342,4.25001351,10,high,incorrect,que voltou a poder ser privatizado
LR041_low,LR041,1,1,recondicionável,que pode voltar a ficar condicionado,low_re,res,recondicionável,recondicionar,condicionável,condicionar,verb,581,18.5163526,2.76417613,4.26755544,11,low,correct,que pode voltar a ficar condicionado
LR043_high,LR043,2,1,reequilibrável,que voltou a poder ser equilibrado,low_re,res,reequilibrável,reequilibrar,equilibrável,equilibrar,verb,687,21.8945511,2.83695674,4.34033605,10,high,incorrect,que voltou a poder ser equilibrado
LR046_high,LR046,2,1,reordenável,que voltou a poder ser ordenado,low_re,res,reordenável,reordenar,ordenável,ordenar,verb,777,24.7628329,2.89042102,4.39380033,7,high,incorrect,que voltou a poder ser ordenado
LR047_low,LR047,1,1,reenterrável,que pode voltar a ficar enterrado,low_re,res,reenterrável,reenterrar,enterrável,enterrar,verb,905,28.8421671,2.95664858,4.46002789,8,low,correct,que pode voltar a ficar enterrado
LR049_low,LR049,1,1,renovável,que pode voltar a ficar novo,low_re,res,renovável,renovar,-,renovar,verb,967,30.81809452,2.985426474,4.488805783,7,low,correct,que pode voltar a ficar novo
LR050_high,LR050,2,1,reanimável,que voltou a poder ser animado,low_re,res,reanimável,reanimar,animável,animar,verb,1378,43.9165814,3.13924922,4.64262853,6,high,incorrect,que voltou a poder ser animado
LR055_high,LR055,2,1,reconquistável,que voltou a poder ser conquistado,low_re,res,reconquistável,reconquistar,conquistável,conquistar,verb,3215,102.4614,3.50718098,5.01056029,10,high,incorrect,que voltou a poder ser conquistado
LR056_low,LR056,1,1,readmissível,que pode voltar a ficar admitido,low_re,res,readmissível,readmitir,admissível,admitir,verb,4080,130.028775,3.61066016,5.11403947,7,low,correct,que pode voltar a ficar admitido
LR057_low,LR057,1,1,readotável,que pode voltar a ficar adotado,low_re,res,readotável,readotar,adotável,adotar,verb,4150,132.259661,3.6180481,5.12142741,6,low,correct,que pode voltar a ficar adotado
