item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status,stimulus_round,trial_role,target_version,experimental_list,filler_rotation,original_version,target_pair_number,target_assignment_method
HD091_low,HD091,,,desimitável,que pode ser desimitado,high_des,neg,desimitável,-,imitável,imitar,ver,527,16.7953834685622,2.7218106152125467,4.225189924008546,6,low,incorrect,new_high_des,target_high_des,A,A1,1,,13,adjacent_zipf_pair
HD078_high,HD078,,,desarrumável,que não é arrumável,high_des,neg,desarrumável,,arrumável,arrumar,ver,537,17.11408144709279,2.7299742856995555,4.233353594495555,7,high,correct,new_high_des,target_high_des,A,A1,1,,13,adjacent_zipf_pair
HD080_high,HD080,,,desabastecível,que não é abastecível,high_des,neg,desabastecível,-,abastecível,abastecer,ver,618,19.695535073190584,2.790988475088816,4.294367783884816,9,high,correct,new_high_des,target_high_des,A,A1,1,,14,adjacent_zipf_pair
HD094_low,HD094,,,desajustável,que pode ser desajustado,high_des,neg,desajustável,-,ajustável,ajustar,ver,675,21.51211355081496,2.829303772831025,4.3326830816270245,7,low,incorrect,new_high_des,target_high_des,A,A1,1,,14,adjacent_zipf_pair
HD095_high,HD095,,,dessuportável,que não é suportável,high_des,neg,dessuportável,,suportável,suportar,ver,703,22.404467890700616,2.846955325019824,4.350334633815824,8,high,correct,new_high_des,target_high_des,A,A1,1,,15,adjacent_zipf_pair
HD097_low,HD097,,,desapertável,que pode ser desapertado,high_des,neg,desapertável,-,apertável,apertar,ver,740,23.583650411263807,2.8692317197309762,4.3726110285269755,7,low,incorrect,new_high_des,target_high_des,A,A1,1,,15,adjacent_zipf_pair
HD098_high,HD098,,,desordenável,que não é ordenável,high_des,neg,desordenável,-,ordenável,ordenar,ver,777,24.762832931827,2.890421018800914,4.393800327596914,7,high,correct,new_high_des,target_high_des,A,A1,1,,16,adjacent_zipf_pair
HD099_low,HD099,,,desatualizável,que pode ser desatualizado,high_des,neg,desatualizável,,atualizável,atualizar,ver,781,24.890312123239234,2.8926510338773004,4.3960303426733,9,low,incorrect,new_high_des,target_high_des,A,A1,1,,16,adjacent_zipf_pair
HD100_high,HD100,,,desconcebível,que não é concebível,high_des,neg,desconcebível,,concebível,conceber,ver,823,26.228843633067722,2.91539983521227,4.418779144008269,8,high,correct,new_high_des,target_high_des,A,A1,1,,17,adjacent_zipf_pair
HD084_low,HD084,,,desarticulável,que pode ser desarticulado,high_des,neg,desarticulável,,articulável,articular,ver,880,28.045422110692094,2.9444826721501687,4.447861980946168,9,low,incorrect,new_high_des,target_high_des,A,A1,1,,17,adjacent_zipf_pair
HD085_high,HD085,,,desapreciável,que não é apreciável,high_des,neg,desapreciável,,apreciável,apreciar,ver,907,28.905906652724696,2.957607287060095,4.460986595856095,8,high,correct,new_high_des,target_high_des,A,A1,1,,18,adjacent_zipf_pair
HD086_low,HD086,,,desempregável,que pode ser desempregado,high_des,neg,desempregável,,empregável,empregar,ver,931,29.670781801198114,2.9689496809813427,4.472328989777342,8,low,incorrect,new_high_des,target_high_des,A,A1,1,,18,adjacent_zipf_pair
HD101_high,HD101,,,desreprodutível,que não é reprodutível,high_des,neg,desreprodutível,-,reprodutível,reproduzir,ver,978,31.168662300291896,2.9903388547876015,4.493718163583601,10,high,correct,new_high_des,target_high_des,A,A1,1,,19,adjacent_zipf_pair
HD103_low,HD103,,,descontestável,que pode ser descontestado,high_des,neg,descontestável,-,contestável,contestar,ver,1106,35.24799642548347,3.0437551269686796,4.547134435764679,9,low,incorrect,new_high_des,target_high_des,A,A1,1,,19,adjacent_zipf_pair
HD089_high,HD089,,,desdetectável,que não é detectável,high_des,neg,desdetectável,,detectável,detectar,ver,1123,35.78978298898548,3.050379756261458,4.5537590650574575,8,high,correct,new_high_des,target_high_des,A,A1,1,,20,adjacent_zipf_pair
HD105_low,HD105,,,descoordenável,que pode ser descoordenado,high_des,neg,descoordenável,-,coordenável,coordenar,ver,1184,37.73384065802209,3.073351702386901,4.5767310111829005,9,low,incorrect,new_high_des,target_high_des,A,A1,1,,20,adjacent_zipf_pair
HD092_high,HD092,,,desquestionável,que não é questionável,high_des,neg,desquestionável,-,questionável,questionar,ver,1306,41.621955996095316,3.115943176939055,4.619322485735054,10,high,correct,new_high_des,target_high_des,A,A1,1,,21,adjacent_zipf_pair
HD093_low,HD093,,,desanimável,que pode ser desanimado,high_des,neg,desanimável,-,animável,animar,ver,1378,43.916581441515575,3.139249217571607,4.642628526367607,6,low,incorrect,new_high_des,target_high_des,A,A1,1,,21,adjacent_zipf_pair
HD106_low,HD106,,,desprocessável,que pode ser desprocessado,high_des,neg,desprocessável,-,processável,processar,ver,1411,44.96828477066653,3.149527013754348,4.652906322550347,9,low,incorrect,new_high_des,target_high_des,A,A1,1,,22,adjacent_zipf_pair
HD107_high,HD107,,,desavisável,que não é avisável,high_des,neg,desavisável,-,avisável,avisar,ver,1531,48.79266051303363,3.184975190698261,4.6883544994942605,6,high,correct,new_high_des,target_high_des,A,A1,1,,22,adjacent_zipf_pair
HD096_low,HD096,,,desexplorável,que pode ser desexplorado,high_des,neg,desexplorável,,explorável,explorar,ver,1548,49.33444707653564,3.189770956346874,4.693150265142874,8,low,incorrect,new_high_des,target_high_des,A,A1,1,,23,adjacent_zipf_pair
HD108_high,HD108,,,descorrigível,que não é corrigível,high_des,neg,descorrigível,,corrigível,corrigir,ver,1843,58.7360374431881,3.2655253352190736,4.768904644015073,8,high,correct,new_high_des,target_high_des,A,A1,1,,23,adjacent_zipf_pair
HD109_low,HD109,,,dessustentável,que pode ser dessustentado,high_des,neg,dessustentável,,sustentável,sustentar,ver,1940,61.827407834934846,3.287801729930226,4.791181038726226,9,low,incorrect,new_high_des,target_high_des,A,A1,1,,24,adjacent_zipf_pair
HD110_high,HD110,,,desseparável,que não é separável,high_des,neg,desseparável,-,separável,separar,ver,2011,64.09016348250205,3.303412070596742,4.806791379392742,7,high,correct,new_high_des,target_high_des,A,A1,1,,24,adjacent_zipf_pair
